,freq
2018-09,20206
2018-08,14564
2018-07,10000
2018-06,8570
2018-05,9905
2018-04,6820
2018-03,4084
2018-02,4970
2018-01,3885
2017-12,3169
2017-11,3334
2017-10,2585
2017-09,2941
2017-08,4311
2017-07,3318
2017-06,11493
2017-05,2103
2017-04,940
2017-03,1041
2017-02,1052
2017-01,1251
2016-12,786
2016-11,891
2016-10,869
2016-09,677
2016-08,703
2016-07,591
2016-06,545
2016-05,435
2016-04,364
2016-03,369
2016-02,365
2016-01,5320
2015-12,191
2015-11,166
2015-10,223
2015-09,285
2015-08,373
2015-07,2082
2015-06,158
2015-05,197
2015-04,126
2015-03,94
2015-02,126
2015-01,82
2014-12,101
2014-11,3
2014-10,2
2014-09,1
2014-08,4
2014-07,1
2014-06,1
2014-05,2
2014-04,2
2014-03,3
2014-02,1
2014-01,1
2013-12,1
2013-10,1
2013-08,5
2013-06,2
2013-02,1
2012-11,1
2012-10,1
2012-08,1
2011-09,1
2010-07,1
