,freq
2018-09-30,1457
2018-09-29,1741
2018-09-28,1340
2018-09-27,839
2018-09-26,696
2018-09-25,945
2018-09-24,700
2018-09-23,924
2018-09-22,538
2018-09-21,542
2018-09-20,541
2018-09-19,529
2018-09-18,373
2018-09-17,418
2018-09-16,502
2018-09-15,524
2018-09-14,699
2018-09-13,800
2018-09-12,803
2018-09-11,572
2018-09-10,388
2018-09-09,352
2018-09-08,382
2018-09-07,390
2018-09-06,571
2018-09-05,576
2018-09-04,633
2018-09-03,404
2018-09-02,581
2018-09-01,446
2018-08-31,401
2018-08-30,485
2018-08-29,539
2018-08-28,421
2018-08-27,386
2018-08-26,613
2018-08-25,514
2018-08-24,467
2018-08-23,460
2018-08-22,458
2018-08-21,386
2018-08-20,474
2018-08-19,589
2018-08-18,352
2018-08-17,415
2018-08-16,419
2018-08-15,458
2018-08-14,329
2018-08-13,344
2018-08-12,411
2018-08-11,226
2018-08-10,493
2018-08-09,544
2018-08-08,614
2018-08-07,311
2018-08-06,469
2018-08-05,560
2018-08-04,411
2018-08-03,563
2018-08-02,1163
2018-08-01,289
2018-07-31,250
2018-07-30,457
2018-07-29,408
2018-07-28,422
2018-07-27,462
2018-07-26,492
2018-07-25,599
2018-07-24,402
2018-07-23,422
2018-07-22,463
2018-07-21,239
2018-07-20,291
2018-07-19,332
2018-07-18,262
2018-07-17,270
2018-07-16,376
2018-07-15,222
2018-07-14,494
2018-07-13,294
2018-07-12,230
2018-07-11,225
2018-07-10,230
2018-07-09,250
2018-07-08,185
2018-07-07,170
2018-07-06,221
2018-07-05,360
2018-07-04,226
2018-07-03,255
2018-07-02,255
2018-07-01,236
2018-06-30,255
2018-06-29,262
2018-06-28,403
2018-06-27,285
2018-06-26,296
2018-06-25,403
2018-06-24,330
2018-06-23,205
2018-06-22,176
2018-06-21,443
2018-06-20,263
2018-06-19,188
2018-06-18,215
2018-06-17,183
2018-06-16,151
2018-06-15,231
2018-06-14,393
2018-06-13,476
2018-06-12,278
2018-06-11,513
2018-06-10,178
2018-06-09,190
2018-06-08,241
2018-06-07,367
2018-06-06,295
2018-06-05,255
2018-06-04,262
2018-06-03,277
2018-06-02,243
2018-06-01,313
2018-05-31,294
2018-05-30,245
2018-05-29,227
2018-05-28,149
2018-05-27,184
2018-05-26,161
2018-05-25,188
2018-05-24,191
2018-05-23,154
2018-05-22,198
2018-05-21,273
2018-05-20,182
2018-05-19,182
2018-05-18,280
2018-05-17,232
2018-05-16,181
2018-05-15,2721
2018-05-14,1791
2018-05-13,122
2018-05-12,89
2018-05-11,230
2018-05-10,231
2018-05-09,177
2018-05-08,140
2018-05-07,159
2018-05-06,117
2018-05-05,139
2018-05-04,96
2018-05-03,305
2018-05-02,110
2018-05-01,157
2018-04-30,2975
2018-04-29,214
2018-04-28,126
2018-04-27,164
2018-04-26,243
2018-04-25,145
2018-04-24,127
2018-04-23,151
2018-04-22,156
2018-04-21,108
2018-04-20,117
2018-04-19,150
2018-04-18,115
2018-04-17,141
2018-04-16,166
2018-04-15,173
2018-04-14,99
2018-04-13,108
2018-04-12,179
2018-04-11,89
2018-04-10,107
2018-04-09,163
2018-04-08,115
2018-04-07,70
2018-04-06,75
2018-04-05,98
2018-04-04,69
2018-04-03,115
2018-04-02,135
2018-04-01,127
2018-03-31,89
2018-03-30,123
2018-03-29,126
2018-03-28,97
2018-03-27,157
2018-03-26,119
2018-03-25,123
2018-03-24,89
2018-03-23,146
2018-03-22,152
2018-03-21,191
2018-03-20,147
2018-03-19,115
2018-03-18,141
2018-03-17,90
2018-03-16,146
2018-03-15,203
2018-03-14,95
2018-03-13,128
2018-03-12,144
2018-03-11,120
2018-03-10,58
2018-03-09,86
2018-03-08,156
2018-03-07,127
2018-03-06,210
2018-03-05,250
2018-03-04,61
2018-03-03,71
2018-03-02,123
2018-03-01,201
2018-02-28,207
2018-02-27,118
2018-02-26,580
2018-02-25,116
2018-02-24,257
2018-02-23,113
2018-02-22,199
2018-02-21,152
2018-02-20,172
2018-02-19,153
2018-02-18,236
2018-02-17,219
2018-02-16,141
2018-02-15,106
2018-02-14,159
2018-02-13,125
2018-02-12,129
2018-02-11,118
2018-02-10,282
2018-02-09,177
2018-02-08,331
2018-02-07,213
2018-02-06,204
2018-02-05,98
2018-02-04,128
2018-02-03,65
2018-02-02,89
2018-02-01,83
2018-01-31,133
2018-01-30,108
2018-01-29,118
2018-01-28,142
2018-01-27,245
2018-01-26,303
2018-01-25,261
2018-01-24,180
2018-01-23,142
2018-01-22,138
2018-01-21,63
2018-01-20,56
2018-01-19,83
2018-01-18,270
2018-01-17,94
2018-01-16,127
2018-01-15,139
2018-01-14,73
2018-01-13,68
2018-01-12,93
2018-01-11,71
2018-01-10,85
2018-01-09,73
2018-01-08,94
2018-01-07,65
2018-01-06,57
2018-01-05,146
2018-01-04,187
2018-01-03,109
2018-01-02,104
2018-01-01,58
2017-12-31,61
2017-12-30,106
2017-12-29,76
2017-12-28,67
2017-12-27,75
2017-12-26,33
2017-12-25,33
2017-12-24,81
2017-12-23,57
2017-12-22,92
2017-12-21,69
2017-12-20,61
2017-12-19,171
2017-12-18,133
2017-12-17,69
2017-12-16,202
2017-12-15,139
2017-12-14,192
2017-12-13,80
2017-12-12,183
2017-12-11,102
2017-12-10,55
2017-12-09,52
2017-12-08,71
2017-12-07,224
2017-12-06,231
2017-12-05,136
2017-12-04,71
2017-12-03,93
2017-12-02,60
2017-12-01,94
2017-11-30,116
2017-11-29,144
2017-11-28,94
2017-11-27,95
2017-11-26,52
2017-11-25,151
2017-11-24,155
2017-11-23,114
2017-11-22,91
2017-11-21,67
2017-11-20,146
2017-11-19,88
